2020-12-29 21:12:60 INFO  BasePage :32 - Launching Chrome Browser
2020-12-29 21:12:923 INFO  HomePage :31 - Mouse Hover on buy+sell : [[ChromeDriver: chrome on WINDOWS (66cd80569630776413b01d1819284951)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-29 21:12:698 INFO  SearchCarsPage :35 - Select car brand : [[ChromeDriver: chrome on WINDOWS (66cd80569630776413b01d1819284951)] -> xpath: //select[@id='makes']]
2020-12-29 21:12:164 INFO  SearchCarsPage :42 - Select car model : [[ChromeDriver: chrome on WINDOWS (66cd80569630776413b01d1819284951)] -> xpath: //select[@id='models']]
2020-12-29 21:12:537 INFO  SearchCarsPage :49 - Select car location : [[ChromeDriver: chrome on WINDOWS (66cd80569630776413b01d1819284951)] -> xpath: //select[@id='locations']]
2020-12-29 21:12:724 INFO  SearchCarsPage :56 - Select car maximum price : [[ChromeDriver: chrome on WINDOWS (66cd80569630776413b01d1819284951)] -> xpath: //select[@id='priceTo']]
2020-12-29 21:12:909 INFO  SearchCarsPage :63 - Submit search criteria : [[ChromeDriver: chrome on WINDOWS (66cd80569630776413b01d1819284951)] -> xpath: //input[@id='search-submit']]
2020-12-29 21:12:679 INFO  SearchCarsResultPage :21 - Get text from search result : [[ChromeDriver: chrome on WINDOWS (66cd80569630776413b01d1819284951)] -> xpath: //h1[@class = "listing-search-title"]]
2020-12-29 21:12:717 INFO  SearchCarsResultPage :28 - Get title of page : 
2020-12-29 21:12:695 INFO  BasePage :32 - Launching Chrome Browser
2020-12-29 21:12:109 INFO  HomePage :31 - Mouse Hover on buy+sell : [[ChromeDriver: chrome on WINDOWS (78f75843cdfbd451126484ae1e114113)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-29 21:12:913 INFO  SearchCarsPage :35 - Select car brand : [[ChromeDriver: chrome on WINDOWS (78f75843cdfbd451126484ae1e114113)] -> xpath: //select[@id='makes']]
2020-12-29 21:12:316 INFO  SearchCarsPage :42 - Select car model : [[ChromeDriver: chrome on WINDOWS (78f75843cdfbd451126484ae1e114113)] -> xpath: //select[@id='models']]
2020-12-29 21:12:499 INFO  SearchCarsPage :49 - Select car location : [[ChromeDriver: chrome on WINDOWS (78f75843cdfbd451126484ae1e114113)] -> xpath: //select[@id='locations']]
2020-12-29 21:12:670 INFO  SearchCarsPage :56 - Select car maximum price : [[ChromeDriver: chrome on WINDOWS (78f75843cdfbd451126484ae1e114113)] -> xpath: //select[@id='priceTo']]
2020-12-29 21:12:825 INFO  SearchCarsPage :63 - Submit search criteria : [[ChromeDriver: chrome on WINDOWS (78f75843cdfbd451126484ae1e114113)] -> xpath: //input[@id='search-submit']]
2020-12-29 21:12:752 INFO  SearchCarsResultPage :21 - Get text from search result : [[ChromeDriver: chrome on WINDOWS (78f75843cdfbd451126484ae1e114113)] -> xpath: //h1[@class = "listing-search-title"]]
2020-12-29 21:12:205 INFO  SearchCarsResultPage :28 - Get title of page : 
2020-12-29 21:12:579 INFO  BasePage :32 - Launching Chrome Browser
2020-12-29 21:12:249 INFO  HomePage :31 - Mouse Hover on buy+sell : [[ChromeDriver: chrome on WINDOWS (5db8dd7717a269f07ef752f373f5b92a)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-29 21:12:380 INFO  SearchCarsPage :35 - Select car brand : [[ChromeDriver: chrome on WINDOWS (5db8dd7717a269f07ef752f373f5b92a)] -> xpath: //select[@id='makes']]
